ItemDescription,variable,value
Basic Goods,Jul.2015,5.15970516
Basic metals,Jul.2015,6.812879141
Capital Goods,Jul.2015,10.56231003
Consumer Durables,Jul.2015,11.36260751
Consumer Goods,Jul.2015,1.284296556
Consumer Non-durables,Jul.2015,-4.614370468
Electrical Machinery,Jul.2015,20.93232541
Electricity,Jul.2015,3.536452666
General Index,Jul.2015,4.219653179
Intermediate Goods,Jul.2015,1.544401544
Manufacturing,Jul.2015,4.665203074
Mining & Quarrying,Jul.2015,1.290877797
Motor Vehicles,Jul.2015,7.929515419
Publishing & Printing ,Jul.2015,-9.465478842
Rubber & Plastics Products,Jul.2015,-4.253112033
Textiles,Jul.2015,-0.584415584
Tobacco Products,Jul.2015,-2.049622438
Wearing Apparel,Jul.2015,21.72260925
Wood & Products Of Wood,Jul.2015,10.43307087
Basic Goods,Aug.2015,5.137614679
Basic metals,Aug.2015,10.89866157
Capital Goods,Aug.2015,-3.620243812
Consumer Durables,Aug.2015,15.99811232
Consumer Goods,Aug.2015,6.590772918
Consumer Non-durables,Aug.2015,1.342281879
Electrical Machinery,Aug.2015,-10.01655629
Electricity,Aug.2015,1.321585903
General Index,Aug.2015,3.779069767
Intermediate Goods,Aug.2015,0.793650794
Manufacturing,Aug.2015,4.608550805
Mining & Quarrying,Aug.2015,-0.327600328
Motor Vehicles,Aug.2015,8.59375
Publishing & Printing ,Aug.2015,-11.41552511
Rubber & Plastics Products,Aug.2015,0.104275287
Textiles,Aug.2015,1.12657389
Tobacco Products,Aug.2015,8.679245283
Wearing Apparel,Aug.2015,27.58846658
Wood & Products Of Wood,Aug.2015,20.97378277
Basic Goods,Sep.2015,6.223818073
Basic metals,Sep.2015,9.526044111
Capital Goods,Sep.2015,2.192982456
Consumer Durables,Sep.2015,-3.920822231
Consumer Goods,Sep.2015,-2.134646962
Consumer Non-durables,Sep.2015,-0.860927152
Electrical Machinery,Sep.2015,2.882681564
Electricity,Sep.2015,6.03588907
General Index,Sep.2015,2.509982886
Intermediate Goods,Sep.2015,1.286173633
Manufacturing,Sep.2015,2.016348774
Mining & Quarrying,Sep.2015,2.314445331
Motor Vehicles,Sep.2015,4.213864975
Publishing & Printing ,Sep.2015,-9.230769231
Rubber & Plastics Products,Sep.2015,1.469098278
Textiles,Sep.2015,-1.556420233
Tobacco Products,Sep.2015,-7.717303006
Wearing Apparel,Sep.2015,15.78014184
Wood & Products Of Wood,Sep.2015,10.35182679
Basic Goods,Oct.2015,2.63803681
Basic metals,Oct.2015,7.349454718
Capital Goods,Oct.2015,5.531914894
Consumer Durables,Oct.2015,1.292090838
Consumer Goods,Oct.2015,2.754820937
Consumer Non-durables,Oct.2015,3.745072273
Electrical Machinery,Oct.2015,13.14297286
Electricity,Oct.2015,-0.505334082
General Index,Oct.2015,3.011001737
Intermediate Goods,Oct.2015,2.338009352
Manufacturing,Oct.2015,3.914002205
Mining & Quarrying,Oct.2015,-0.57096248
Motor Vehicles,Oct.2015,6.773455378
Publishing & Printing ,Oct.2015,6.088992974
Rubber & Plastics Products,Oct.2015,5.604395604
Textiles,Oct.2015,4.663557628
Tobacco Products,Oct.2015,-25.79650565
Wearing Apparel,Oct.2015,9.92529349
Wood & Products Of Wood,Oct.2015,6.258890469
